"자치구별(1)","성별(1)",2024 1/4,2024 2/4,2024 3/4,2024 4/4
"자치구별(1)","성별(1)",합계,합계,합계,합계
"합계","합계",9384739,9366283,9350995,9331828
"종로구","합계",139498,139189,138879,138336
"중구","합계",121602,121475,121324,120544
"용산구","합계",209849,206061,205145,203854
"성동구","합계",276964,276597,275403,273669
"광진구","합계",335105,334159,333403,331963
"동대문구","합계",341987,341345,340686,338735
"중랑구","합계",381966,381126,380353,379274
"성북구","합계",424881,424194,423439,421560
"강북구","합계",286400,285054,284313,283597
"도봉구","합계",306346,305400,304255,303228
"노원구","합계",497064,495183,493486,491247
"은평구","합계",466007,464738,462514,460919
"서대문구","합계",305986,305369,304523,302853
"마포구","합계",363645,363029,362564,361417
"양천구","합계",434528,433307,432523,430976
"강서구","합계",561386,559335,557662,556171
"구로구","합계",391387,390169,389416,388169
"금천구","합계",227160,226672,226003,225159
"영등포구","합계",375148,375040,374653,373773
"동작구","합계",378649,378324,377137,375799
"관악구","합계",481958,481145,479774,477812
"서초구","합계",407840,407404,408060,408376
"강남구","합계",554280,556570,558508,557345
"송파구","합계",653736,652752,651882,650110
"강동구","합계",461367,462646,465090,476942
