"서비스 id","시설코드","시군구 코드","시군구명","읍면동 코드","읍면동명","관리기관","전화번호","경도","위도","세부위치","운영시간","운영요일","안심귀갓길 id","안심귀갓길 명","비고","데이터 기준일자","이미지명"
"1111017400_06_S01","402","1111000000","서울특별시 종로구","1111016400","종로6가","혜화경찰서","02-762-4400","127.00759","37.573204","서울특별시 종로구 율곡로 271","0000_2400","501","1111017400_06","혜화안심06","CU종로공원점","20221118","1111017400_06_S01_402.jpeg"
"1111017400_06_S02","402","1111000000","서울특별시 종로구","1111016400","종로6가","혜화경찰서","02-762-4400","127.00497","37.572605","서울특별시 종로구 종로39길 40","0000_2400","501","1111017400_06","혜화안심06","미니스톱종로효제점","20221118","1111017400_06_S02_402.jpeg"
"1111017400_06_S03","402","1111000000","서울특별시 종로구","1111016400","종로6가","혜화경찰서","02-762-4400","127.00654","37.571434","서울특별시 종로구 종로41길 3","0000_2400","501","1111017400_06","혜화안심06","미니스톱종로6가점","20221118","1111017400_06_S03_402.jpeg"
"1114016500_08_S01","402","1114000000","서울특별시 중구","1114016500","황학동","중부(광희)지구대","02-2233-1444","127.0198","37.56845","서울특별시 중구 황학동 마장로 89","0000_2400","501","1114016500_08","중부안심08","세븐일레븐 중구황학동점","20221118","1114016500_08_S01_402.jpeg"
"1114016200_05_S01","402","1114000000","서울특별시 중구","1114016200","신당동","중부(약수)지구대","02-2234-8112","127.01285","37.55924","서울특별시 중구 다산로 175(신당동)","0000_2400","501","1114016200_05","중부안심05","cu청구대로점","20221118","1114016200_05_S01_402.jpeg"
"1114016200_05_S02","402","1114000000","서울특별시 중구","1114016200","신당동","중부(약수)지구대","02-2234-8112","127.01797","37.558163","서울특별시 중구 청구로1길 23 삼성@ 2동B 101호","0000_2400","501","1114016200_05","중부안심05","GS25신당삼성","20221118","1114016200_05_S02_402.jpeg"
"1114014400_02_S01","401","1114000000","서울특별시 중구","1114014400","장충동2가","서울특별시 중구청 여성보육과","02-3396-5402","127.006676","37.55864","서울특별시 중구 동호로 241","0000_2400","501","1114014400_02","중부안심02","장충체육관 후문","20221118","1114014400_02_S01_401.jpeg"
"1114014400_02_S02","401","1114000000","서울특별시 중구","1114014400","장충동2가","서울특별시 중구청 여성보육과","02-3396-5402","127.00102","37.55999","서울특별시 중구 장충동2가 192-129","0000_2400","501","1114014400_02","중부안심02","장충공영주차장","20221118","1114014400_02_S02_401.jpeg"
"1114013800_01_S02","402","1114000000","서울특별시 중구","1114013200","충무로4가","중부(충무)파출소","02-2278-7710","126.99502","37.561615","서울특별시 중구 퇴계로 209(충무로4가)","0000_2400","501","1114013800_01","중부안심01","세븐일레븐충무퇴계점","20221118","1114013800_01_S02_402.jpeg"
"1114013800_01_S01","402","1114000000","서울특별시 중구","1114013900","필동3가","중부(충무)파출소","02-2278-7710","126.99741","37.56036","서울특별시 중구 서애로21 1층","0000_2400","501","1114013800_01","중부안심01","cu중구필동점","20221118","1114013800_01_S01_402.jpeg"
"1126010100_13_S01","401","1126000000","서울특별시 중랑구","1126010100","면목동","스마트큐브","02-1666-0339","127.08561","37.5747","서울특별시 중랑구 면목로 246","0000_2400","501","1126010100_13","중랑안심13","면목4동주민센터","20221118","1126010100_13_S01_401.jpeg"
"1126010100_12_S01","401","1126000000","서울특별시 중랑구","1126010100","면목동","스마트큐브","02-1666-0339","127.079475","37.585754","서울특별시 중랑구 동일로 619(면목동 175-18)","0000_2400","501","1126010100_12","중랑안심12","면목5동 주민센터","20221118","1126010100_12_S01_401.jpeg"
"1126010100_07_S01","402","1126000000","서울특별시 중랑구","1126010100","면목동","GS25 사가정스타점","02-493-5992","127.08806","37.581783","서울특별시 중랑구 면목로45길 8","0000_2400","501","1126010100_07","중랑안심07","","20220819","1126010100_07_S01_402.jpeg"
"1126010200_06_S01","401","1126000000","서울특별시 중랑구","1126010200","상봉동","스마트큐브","02-1666-0339","127.0809","37.59311","서울특별시 중랑구 동일로 114길 10(상봉동 126)","0000_2400","501","1126010200_06","중랑안심06","상봉2동 주민센터","20221118","1126010200_06_S01_401.jpeg"
"1126010100_05_S01","402","1126000000","서울특별시 중랑구","1126010100","면목동","GS25 면목한신점","02-436-6480","127.07662","37.588417","서울특별시 중랑구 겸재로3길 54 ","0000_2400","501","1126010100_05","중랑안심05","","20220809","1126010100_05_S01_402.jpeg"
"1126010100_04_S01","401","1126000000","서울특별시 중랑구","1126010100","면목동","스마트큐브","02-1666-0339","127.087555","37.587357","서울특별시 중랑구 면목로 397","0000_2400","501","1126010100_04","중랑안심04","면목본동 주민센터","20221118","1126010100_04_S01_401.jpeg"
"1129013500_11_S01","402","1123000000","서울특별시 동대문구","1123010300","제기동","동대문경찰서","02-968-0112","127.03791","37.591007","서울특별시 동대문구 회기로 14","0000_2400","501","1129013500_11","종암안심11","CU 고대어진재점","20221118","1129013500_11_S01_402.jpeg"
"1129013500_10_S01","402","1129000000","서울특별시 성북구","1129013500","종암동","종암경찰서","182","127.034256","37.59405","서울특별시 성북구 종암로5길 29","0000_2400","501","1129013500_10","종암안심10","CU종암행복점","20221118","1129013500_10_S01_402.jpeg"
"1129013500_10_S03","401","1129000000","서울특별시 성북구","1129013500","종암동","성북구청 여성가족과","02-2241-2572","127.03555","37.592945","서울특별시 성북구 북악산로31길 8","0000_2400","501","1129013500_10","종암안심10","제일빌딩(고대인근)","20221118","1129013500_10_S03_401.jpeg"
"1129013500_10_S02","402","1129000000","서울특별시 성북구","1129013500","종암동","종암경찰서","182","127.03442","37.59213","서울특별시 성북구 북악산로27길 14","0000_2400","501","1129013500_10","종암안심10","GS25고대종암","20221118","1129013500_10_S02_402.jpeg"
"1129013800_06_S02","401","1129000000","서울특별시 성북구","1129013800","장위동","성북구청 여성가족과","02-2241-2572","127.04367","37.61407","서울특별시 성북구 장위로 61","0000_2400","501","1129013800_06","종암안심06","장위1동 주민센터","20221118","1129013800_06_S02_401.jpeg"
"1129013800_04_S01","402","1129000000","서울특별시 성북구","1129013800","장위동","종암경찰서","182","127.05452","37.611813","서울특별시 성북구 화랑로33길 39","0000_2400","501","1129013800_04","종암안심04","GS25성북장위","20221118","1129013800_04_S01_402.jpeg"
"1129013900_03_S01","402","1129000000","서울특별시 성북구","1129013900","석관동","미니스톱 상월곡지점","02-967-3233","127.05099","37.607384","서울특별시 성북구 화랑로 186","0000_2400","501","1129013900_03","종암안심03","","20220927","1129013900_03_S01_402.jpeg"
"1129013900_02_S02","401","1129000000","서울특별시 성북구","1129013900","석관동","서울특별시 강북구 여성가족과","02-901-6693","127.06141","37.612965","서울특별시 성북구 화랑로 296","0000_2400","501","1129013900_02","종암안심02","석관동주민센터","20221118","1129013900_02_S02_401.jpeg"
"1129013900_01_S01","402","1129000000","서울특별시 성북구","1129013900","석관동","종암경찰서","182","127.059875","37.608246","서울특별시 성북구 돌곶이로 46, 1층","0000_2400","501","1129013900_01","종암안심01","GS25성북석관","20221118","1129013900_01_S01_402.jpeg"
"1111018600_05_S01","402","1111000000","서울특별시 종로구","1111018500","홍지동","종로경찰서","02-3701-4324","126.95852","37.600155","서울특별시 종로구 세검정로 230","0000_2400","501","1111018600_05","종로안심05","GS25상명사랑점","20221118","1111018600_05_S01_402.jpeg"
"1111018600_05_S02","402","1111000000","서울특별시 종로구","1111018300","평창동","종로경찰서","02-3701-4324","126.96596","37.606964","서울특별시 종로구 평창11길 17","0000_2400","501","1111018600_05","종로안심05","세븐일레븐평창점","20221118","1111018600_05_S02_402.jpeg"
"1111011000_04_S03","401","1111000000","서울특별시 종로구","1111011100","옥인동","서울특별시 종로구청 어르신가족과","02-2148-2224","126.96922","37.581833","서울특별시 종로구 자하문로19길 36","0000_2400","501","1111011000_04","종로안심04","청운효자동 자치회관","20221118","1111011000_04_S03_401.jpeg"
